rank,name,year,rating,info_link
1,Planet Earth II,2016,            9.5    ,/title/tt5491994/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_1
2,Band of Brothers,2001,            9.5    ,/title/tt0185906/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_2
3,Planet Earth,2006,            9.5    ,/title/tt0795176/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_3
4,Game of Thrones,2011,            9.4    ,/title/tt0944947/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_4
5,Breaking Bad,2008,            9.4    ,/title/tt0903747/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_5
6,The Wire,2002,            9.3    ,/title/tt0306414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_6
7,Rick and Morty,2013,            9.3    ,/title/tt2861424/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_7
8,Cosmos: A Spacetime Odyssey,2014,            9.3    ,/title/tt2395695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_8
9,Cosmos,1980,            9.2    ,/title/tt0081846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_9
10,The World at War,1973,            9.2    ,/title/tt0071075/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_10
11,The Sopranos,1999,            9.2    ,/title/tt0141842/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_11
12,Sherlock,2010,            9.1    ,/title/tt1475582/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_12
13,Life,2009,            9.1    ,/title/tt1533395/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_13
14,Avatar: The Last Airbender,2005,            9.1    ,/title/tt0417299/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_14
15,The Civil War,1990,            9.1    ,/title/tt0098769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_15
16,Human Planet,2011,            9.0    ,/title/tt1806234/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_16
17,The Twilight Zone,1959,            9.0    ,/title/tt0052520/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_17
18,Dekalog,1989,            9.0    ,/title/tt0092337/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_18
19,Firefly,2002,            9.0    ,/title/tt0303461/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_19
20,Last Week Tonight with John Oliver,2014,            9.0    ,/title/tt3530232/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_20
21,True Detective,2014,            9.0    ,/title/tt2356777/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_21
22,Hagane no renkinjutsushi,2009,            9.0    ,/title/tt1355642/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_22
23,Fargo,2014,            9.0    ,/title/tt2802850/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_23
24,Batman: The Animated Series,1992,            8.9    ,/title/tt0103359/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_24
25,Death Note: Desu nôto,2006,            8.9    ,/title/tt0877057/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_25
26,One Punch Man: Wanpanman,2015,            8.9    ,/title/tt4508902/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_26
27,The Blue Planet,2001,            8.9    ,/title/tt0296310/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_27
28,Westworld,2016,            8.9    ,/title/tt0475784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_28
29,Frozen Planet,2011,            8.9    ,/title/tt2092588/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_29
30,Monty Python's Flying Circus,1969,            8.9    ,/title/tt0063929/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_30
31,Kaubôi bibappu,1998,            8.9    ,/title/tt0213338/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_31
32,House of Cards,2013,            8.9    ,/title/tt1856010/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_32
33,Das Boot,1985,            8.9    ,/title/tt0081834/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_33
34,Pride and Prejudice,1995,            8.9    ,/title/tt0112130/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_34
35,Africa,2013,            8.9    ,/title/tt2571774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_35
36,Arrested Development,2003,            8.9    ,/title/tt0367279/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_36
37,TVF Pitchers,2015,            8.9    ,/title/tt4742876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_37
38,Stranger Things,2016,            8.9    ,/title/tt4574334/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_38
39,Black Mirror,2011,            8.9    ,/title/tt2085059/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_39
40,Friends,1994,            8.9    ,/title/tt0108778/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_40
41,Seinfeld,1989,            8.9    ,/title/tt0098904/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_41
42,Only Fools and Horses....,1981,            8.9    ,/title/tt0081912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_42
43,Over the Garden Wall,2014,            8.8    ,/title/tt3718778/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_43
44,Twin Peaks,1990,            8.8    ,/title/tt0098936/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_44
45,Narcos,2015,            8.8    ,/title/tt2707408/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_45
46,"I, Claudius",1976,            8.8    ,/title/tt0074006/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_46
47,Freaks and Geeks,1999,            8.8    ,/title/tt0193676/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_47
48,Sarabhai vs Sarabhai,2004,            8.8    ,/title/tt1518542/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_48
49,Gravity Falls,2012,            8.8    ,/title/tt1865718/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_49
50,Blackadder Goes Forth,1989,            8.8    ,/title/tt0096548/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_50
51,Fawlty Towers,1975,            8.8    ,/title/tt0072500/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_51
52,Rome,2005,            8.8    ,/title/tt0384766/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_52
53,Oz,1997,            8.8    ,/title/tt0118421/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_53
54,The Simpsons,1989,            8.7    ,/title/tt0096697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_54
55,The Office,2005,            8.7    ,/title/tt0386676/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_55
56,South Park,1997,            8.7    ,/title/tt0121955/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_56
57,Shingeki no kyojin,2013,            8.7    ,/title/tt2560140/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_57
58,It's Always Sunny in Philadelphia,2005,            8.7    ,/title/tt0472954/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_58
59,The Jinx: The Life and Deaths of Robert Durst,2015,            8.7    ,/title/tt4299972/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_59
60,House M.D.,2004,            8.7    ,/title/tt0412142/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_60
61,The Return of Sherlock Holmes,1986,            8.7    ,/title/tt0090509/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_61
62,Peaky Blinders,2013,            8.7    ,/title/tt2442560/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_62
63,The West Wing,1999,            8.7    ,/title/tt0200276/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_63
64,The Untold History of the United States,2012,            8.7    ,/title/tt1494191/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_64
65,The Adventures of Sherlock Holmes,1984,            8.7    ,/title/tt0086661/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_65
66,Dragon Ball Z,1996,            8.7    ,/title/tt0214341/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_66
67,Chappelle's Show,2003,            8.7    ,/title/tt0353049/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_67
68,Six Feet Under,2001,            8.7    ,/title/tt0248654/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_68
69,Steins;Gate,2011,            8.7    ,/title/tt1910272/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_69
70,Dragon Ball Z: Doragon bôru zetto,1989,            8.7    ,/title/tt0121220/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_70
71,Lonesome Dove,1989,            8.7    ,/title/tt0096639/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_71
72,Archer,2009,            8.7    ,/title/tt1486217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_72
73,From the Earth to the Moon,1998,            8.7    ,/title/tt0120570/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_73
74,Top Gear,2002,            8.7    ,/title/tt1628033/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_74
75,Deadwood,2004,            8.7    ,/title/tt0348914/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_75
76,Making a Murderer,2015,            8.7    ,/title/tt5189670/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_76
77,The Grand Tour,2016,            8.7    ,/title/tt5712554/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_77
78,The Thick of It,2005,            8.7    ,/title/tt0459159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_78
79,This Is Us,2016,            8.7    ,/title/tt5555260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_79
80,Battlestar Galactica,2004,            8.7    ,/title/tt0407362/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_80
81,Better Call Saul,2015,            8.7    ,/title/tt3032476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_81
82,Curb Your Enthusiasm,2000,            8.7    ,/title/tt0264235/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_82
83,Long Way Round,2004,            8.7    ,/title/tt0403778/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=1YHYTH3W3GQQ2JBK6SQ8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_83
